nom,sous_titre,type,plat_du_jour,prix,vege,halal,quantiteMax,ingredients,description,photo
Rougail saucisse,Ce plat peut être servi sans viande.,Plat,03/08/2022,2.5,TRUE,FALSE,3,"saucisse fumée, oignons, tomates, thym, laurier, ail, curcuma, riz","Plat de la délégation française. Le rougail saucisse est un plat traditionnel réunionnais, à base de saucisses de porc fumées préparées à la créole, mijotées avec des tomates, oignons et herbes de provences. Servi avec du riz.",rougail-saucisses.jpg
Nouilles sautées,Ce plat peut être servi sans viande.,Plat,03/09/2022,2.5,TRUE,FAUX,3,"nouilles, boeuf, oignons, poivron, sauce bulldog","Plat de la délégation chinoise. Nouilles sautées au wok, avec du boeuf, des oignons, des poivrons et de la sauce bulldog.",nouilles-chinoises.jpg
Currywurst,Ce plat peut être servi sans viande.,Plat,03/10/2022,1.5,TRUE,FAUX,3,"saucisse fumée, coulis de tomate, ketchup, vinaigre de vin rouge, oignon, curry, frites","Plat de la délégation allemande. Symbole de la street-food berlinoise, une saucisse recouverte de sauce tomate type ketchup au curry, avec des petits oignons. Servi avec des frites.",currywurst.jpg
Poulet aigre doux,Ce plat peut être servi sans viande ou avec du poulet halal.,Plat,03/11/2022,2.00,TRUE,TRUE,3,"poulet (halal), sauce soja, maizena, ketchup, sucre, citron, farine, huile à frire, tomate, poivron, oignon, ananas","Plat de la délégation chinoise. Délicieux poulet frit, ensuite mijoté dans une sauce aigre-douce, avec des poivrons, des oignons, de l'ananas et des tomates. Servi avec du riz.",poulet-aigre-doux.jpg
Croque Monsieur Pesto fromage,,Accompagnement,,0.5,TRUE,TRUE,6,"pain de mie, pesto, fromage râpé",Pourquoi faire compliqué ? Un croque-monsieur tout simple avec du pesto vert et du fromage râpé.,croque.jpg
Riz,,Accompagnement,,0.50,TRUE,TRUE,6,,"Du riz blanc, tout simplement !",riz.jpg
Crêpes,,Dessert,,0,TRUE,TRUE,10,"farine, sucre, oeufs, lait, sel","Que serait des SOS sans crêpes ? Faites avec de la farine de blé, du sucre, du lait 
et beaucoup d'amour.
Précisez en commentaire de la commande ce que vous souhaitez mettre dans votre crêpe
",crepe.jpeg
Mousse au chocolat,,Dessert,,0.50,TRUE,TRUE,3,"chocolat noir, oeuf, sucre, beurre, sel","La fameuse mousse au chocolat onctueuse et délicate, à base de chocolat, sucre, jaunes d'oeufs et blancs battus en neige.",mousse-au-chocolat.jpg
Tiramisu,,Dessert,,0.50,TRUE,TRUE,3,"sucre roux, mascarpone, boudoirs, cacao en poudre, oeuf, café","Plat de la délégation italienne. Le dessert emblématique, fait à base de mascarpone, sucre, oeufs, et de biscuits imbibés de café.",tiramisu.jpg
Coca cola,,Boisson,,0.50,,,10,,,coca_cola.png
Redbull,,Boisson,,0.50,,,10,,,red_bull.png
Ice Tea,,Boisson,,0.50,,,10,,,ice_tea.png
Oasis,,Boisson,,0.50,,,10,,,oasis.png
"Corvées ménagères (vaisselle, ménage, …)
",,Service,,0,,,,,"Vous prévoyez une grosse soirée mais vous avez la flemme de faire le ménage et la vaisselle. Aucun soucis, faites appel aux services de Par'Imag !
Nous pouvons même vous assister durant votre soirée en faisant appel à notre équipe de serveur.",menage.png
déménagement,,Service,,0,,,,,"Vous déménagez ? Besoin de gros bras pour vous aider à transporter des meubles ? Pas de problème, Par'Imag est là pour vous aider.
Commandez l'aide de deux déménageurs dès maintenant.",demenagement.jpg
SOS Choré,,Service,,0,,,,,On vient vous apprendre notre superbe choré !,chore.png
SOS Calin,,Service,,0,,,,,Ne pas abuser !,calin.jpg
Coach sportif,,Service,,0,,,,,,coach.png
